Giá,Diện tích,Số phòng ngủ,Số toilet,Địa chỉ nhà,Ngày đăng tin,Ngày hết hạn,Mã tin,Quận,Đường,Lượt xem
6.5,14.0,0,0,"Dự án The Prince Residence, Đường Nguyễn Văn Trỗi, Phường 12, Phú Nhuận, Hồ Chí Minh",2023-06-23,2023-07-08,9122,Quận Phú Nhuận,Đường Nguyễn Văn Trỗi,35
8.0,68.0,2,2,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",2023-06-16,2023-07-01,8478,Quận 7,Đường Đào Trí,74
1.3,30.0,0,0,"Đường D5, Phường 25, Bình Thạnh, Hồ Chí Minh",2023-08-07,2023-08-22,11591,Quận Bình Thạnh,Đường D5,88
10.0,80.0,2,2,"Đường Tạ Quang Bửu, Phường 6, Quận 8, Hồ Chí Minh",2023-06-16,2023-07-01,8580,Quận 8,Đường Tạ Quang Bửu,48
35.0,120.0,5,4,"178A Đường Phan Đăng Lưu, Phường 3, Phú Nhuận, Hồ Chí Minh",2023-03-16,2023-03-31,4467,Quận Phú Nhuận,Đường Phan Đăng Lưu,30
18.0,62.0,5,3,"Đường Nguyễn Chí Thanh, Phường 16, Quận 11, Hồ Chí Minh",2023-08-16,2023-08-31,11996,Quận 11,Đường Nguyễn Chí Thanh,55
14.0,53.0,1,1,"104 Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh",2023-07-18,2023-08-02,10558,Quận Tân Bình,Đường Phổ Quang,41
22.0,41.0,5,4,"Đường Cao Đạt, Phường 1, Quận 5, Hồ Chí Minh",2023-07-21,2023-08-05,10822,Quận 5,Đường Cao Đạt,76
2.6,24.0,0,0,"109f Đường Bến Vân Đồn, Phường 9, Quận 4, Hồ Chí Minh",2023-08-07,2023-08-22,11418,Quận 4,Đường Bến Vân Đồn,70
24.0,40.0,4,4,"207/15 Đường 3/2, Phường 11, Quận 10, Hồ Chí Minh",2023-03-23,2023-04-07,4823,Quận 10,Đường 3/2,83
20.0,24.0,0,0,"Đường Trần Hưng Đạo, Phường 14, Quận 5, Hồ Chí Minh",2023-07-21,2023-08-05,10802,Quận 5,Đường Trần Hưng Đạo,61
30.0,120.0,4,5,"38H Đường Trương Quốc Dung, Phường 10, Phú Nhuận, Hồ Chí Minh",2023-03-07,2023-03-22,3940,Quận Phú Nhuận,Đường Trương Quốc Dung,39
12.0,52.0,4,3,"Đường Quốc Lộ 50, Phường 6, Quận 8, Hồ Chí Minh",2023-07-12,2023-07-27,9991,Quận 8,Đường Quốc Lộ 50,71
10.5,64.0,2,2,"D’Lusso, số 09, Đường Nguyễn Thị Định, Phường An Phú, Quận 2, Hồ Chí Minh",2023-06-08,2023-06-23,7594,Quận 2,Đường Nguyễn Thị Định,91
4.0,50.0,0,0,"Đường Lê Trọng Tấn, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh",2023-08-22,2023-09-06,12410,Quận Tân Phú,Đường Lê Trọng Tấn,64
50.0,800.0,0,0,"Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",2023-06-12,2023-06-27,7947,Quận 2,Đường Nguyễn Văn Hưởng,101
15.0,360.0,0,0,"Đường Lạc Long Quân, Phường 5, Quận 11, Hồ Chí Minh",2023-07-17,2023-08-01,10309,Quận 11,Đường Lạc Long Quân,75
38.0,360.0,5,5,"Đường Đặng Dung, Phường Tân Định, Quận 1, Hồ Chí Minh",2023-12-13,2023-12-27,19021,Quận 1,Đường Đặng Dung,13
3.4,24.0,0,0,"Đường Trường Chinh, Phường 15, Tân Bình, Hồ Chí Minh",2023-08-07,2023-08-22,11576,Quận Tân Bình,Đường Trường Chinh,91
20.0,80.0,0,0,"Đường Lò Lu, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",2023-08-19,2023-09-03,12104,Quận 9,Đường Lò Lu,55
20.0,450.0,0,0,"Đường 8, Phường Long Trường, Quận 9, Hồ Chí Minh",2023-08-19,2023-09-03,12180,Quận 9,Đường 8,56
15.0,64.0,5,6,"Đường Liên Phường, Phường Phước Long B, Quận 9, Hồ Chí Minh",2023-08-19,2023-09-03,12103,Quận 9,Đường Liên Phường,56
24.0,150.0,5,5,"Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Hồ Chí Minh",2023-08-03,2023-08-18,11317,Quận 7,Đường Nguyễn Văn Linh,65
35.0,162.0,4,6,"182/16B Đường Lê Văn Sỹ, Phường 10, Phú Nhuận, Hồ Chí Minh",2023-03-15,2023-03-30,4429,Quận Phú Nhuận,Đường Lê Văn Sỹ,37
120.0,250.0,3,4,"Đường Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Hồ Chí Minh",2023-10-03,2023-10-18,13418,Quận 1,Đường Nguyễn Văn Thủ,79
70.0,308.0,6,0,"24/2 Đường Vũ Tông Phan, Phường An Phú, Quận 2, Hồ Chí Minh",2023-08-26,2023-09-10,12598,Quận 2,Đường Vũ Tông Phan,88
27.0,160.0,0,0,"Đường Trung Sơn, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",2023-04-27,2023-05-12,6102,Huyện Bình Chánh,Đường Trung Sơn,129
31.0,72.0,0,0,"39A Đường Hoa Lan, Phường 2, Phú Nhuận, Hồ Chí Minh",2023-06-23,2023-07-08,9104,Quận Phú Nhuận,Đường Hoa Lan,30
14.0,150.0,3,4,"Đường Lê Thị Riêng, Phường Thới An, Quận 12, Hồ Chí Minh",2023-07-17,2023-08-01,10384,Quận 12,Đường Lê Thị Riêng,102
80.0,350.0,4,3,"Đường Nguyễn Đình Chính, Phường 8, Phú Nhuận, Hồ Chí Minh",2023-12-10,2023-12-24,18476,Quận Phú Nhuận,Đường Nguyễn Đình Chính,12
55.0,340.0,0,0,"Đường Phan Xích Long, Phường 3, Bình Thạnh, Hồ Chí Minh",2023-10-07,2023-10-22,13600,Quận Bình Thạnh,Đường Phan Xích Long,72
25.0,200.0,4,5,"Đường Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, Hồ Chí Minh",2023-08-03,2023-08-18,11319,Quận 7,Đường Nguyễn Hữu Thọ,65
20.0,250.0,4,2,"Đường Nguyễn Thái Sơn, Phường 3, Gò Vấp, Hồ Chí Minh",2023-12-08,2023-12-22,18227,Quận Gò Vấp,Đường Nguyễn Thái Sơn,17
180.0,500.0,5,5,"Đường Ngô Thời Nhiệm, Phường 7, Quận 3, Hồ Chí Minh",2023-06-17,2023-07-02,8682,Quận 3,Đường Ngô Thời Nhiệm,78
17.0,150.0,2,3,"Đường Hoàng Hoa Thám, Phường 6, Bình Thạnh, Hồ Chí Minh",2023-12-06,2023-12-20,17828,Quận Bình Thạnh,Đường Hoàng Hoa Thám,21
35.0,200.0,4,4,"Đường Lê Trực, Phường 7, Bình Thạnh, Hồ Chí Minh",2023-12-18,2024-01-01,19930,Quận Bình Thạnh,Đường Lê Trực,12
30.0,300.0,0,0,"Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",2023-12-16,2023-12-30,19427,Quận 3,Đường Trần Quang Diệu,7
25.0,300.0,4,4,"Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",2023-12-18,2024-01-01,19756,Quận 3,Đường Trần Quang Diệu,10
45.0,300.0,6,4,"Đường Ngô Tất Tố, Phường 22, Bình Thạnh, Hồ Chí Minh",2023-12-13,2023-12-27,19036,Quận Bình Thạnh,Đường Ngô Tất Tố,12
55.0,160.0,6,7,"Đường Cửu Long, Phường 15, Quận 10, Hồ Chí Minh",2023-08-30,2023-09-14,12745,Quận 10,Đường Cửu Long,48
42.0,200.0,0,0,"Đường Nguyễn Minh Hoàng, Phường 12, Tân Bình, Hồ Chí Minh",2023-08-30,2023-09-14,12701,Quận Tân Bình,Đường Nguyễn Minh Hoàng,44
35.0,115.0,0,0,"31a/2 Đường Hoàng Hoa Thám, Phường 13, Tân Bình, Hồ Chí Minh",2023-09-06,2023-09-21,12854,Quận Tân Bình,Đường Hoàng Hoa Thám,49
25.0,126.0,0,0,"Đường Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, Hồ Chí Minh",2023-10-04,2023-10-19,13504,Quận 7,Đường Nguyễn Hữu Thọ,54
13.0,450.0,3,2,"Đường An Phú Đông 25, Phường An Phú Đông, Quận 12, Hồ Chí Minh",2023-07-17,2023-08-01,10392,Quận 12,Đường An Phú Đông 25,81
27.0,300.0,4,4,"Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",2023-12-15,2023-12-29,19353,Quận 3,Đường Trần Quang Diệu,12
37.0,176.0,5,6,"Đường Số 5, Phường An Phú, Quận 2, Hồ Chí Minh",2023-08-30,2023-09-14,12728,Quận 2,Đường Số 5,87
45.0,160.0,0,0,"57k Đường Tú Xương, Phường 9, Quận 3, Hồ Chí Minh",2023-06-19,2023-07-04,8744,Quận 3,Đường Tú Xương,118
45.0,500.0,0,0,"Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh",2023-08-23,2023-09-07,12477,Quận Tân Bình,Đường Phổ Quang,66
50.0,90.0,0,5,"436/3a Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",2023-09-29,2023-10-14,13244,Quận 10,Đường 3/2,58
30.0,169.0,0,0,"Đường Phước Hữu, Phường Phước Long B, Quận 9, Hồ Chí Minh",2023-10-07,2023-10-22,13687,Quận 9,Đường Phước Hữu,54
55.0,300.0,5,4,"Đường Cộng Hoà, Phường 12, Tân Bình, Hồ Chí Minh",2023-12-18,2024-01-01,19885,Quận Tân Bình,Đường Cộng Hòa,7
20.0,160.0,3,3,"Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh",2023-08-19,2023-09-03,12152,Quận 9,Đường Đỗ Xuân Hợp,44
20.0,136.0,4,3,"Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",2023-08-19,2023-09-03,12155,Quận 9,Đường Võ Chí Công,44
150.0,620.0,5,6,"Đường Bạch Mã, Phường 15, Quận 10, Hồ Chí Minh",2023-12-08,2023-12-22,18298,Quận 10,Đường Bạch Mã,13
40.0,144.0,3,2,"Dự án Feliz En Vista, Đường Đồng Văn Cống, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",2023-06-12,2023-06-27,7916,Quận 2,Đường Đồng Văn Cống,90
10.0,70.0,2,2,"Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh",2023-07-14,2023-07-29,10042,Quận 8,Đường Cao Lỗ,61
16.0,86.0,0,0,"Đường Lê Đại Hành, Phường 15, Quận 11, Hồ Chí Minh",2023-08-16,2023-08-31,12001,Quận 11,Đường Lê Đại Hành,64
15.0,86.0,2,2,"Đường Lê Đại Hành, Phường 15, Quận 11, Hồ Chí Minh",2023-07-17,2023-08-01,10298,Quận 11,Đường Lê Đại Hành,38
3.0,25.0,0,0,"Đường Đoàn Văn Bơ, Phường 16, Quận 4, Hồ Chí Minh",2023-08-07,2023-08-22,11428,Quận 4,Đường Đoàn Văn Bơ,58
40.0,200.0,5,3,"Đường Lương Định Của, Phường An Phú, Quận 2, Hồ Chí Minh",2023-04-24,2023-05-09,5904,Quận 2,Đường Lương Định Của,103
70.0,243.0,4,4,"Đường Điện Biên Phủ, Phường 15, Bình Thạnh, Hồ Chí Minh",2023-10-28,2023-11-12,14988,Quận Bình Thạnh,Đường Điện Biên Phủ,73
14.0,57.0,2,1,"108 Đường Hồng Hà, Phường 2, Tân Bình, Hồ Chí Minh",2023-07-18,2023-08-02,10563,Quận Tân Bình,Đường Hồng Hà,52
15.0,99.0,3,2,"Đường Song Hành, Phường Phú Hữu, Quận 9, Hồ Chí Minh",2023-08-19,2023-09-03,12140,Quận 9,Đường Song Hành,70
8.0,65.0,2,2,"Dự án Chung cư Phú Thọ, Đường Nguyễn Thị Nhỏ, Phường 15, Quận 11, Hồ Chí Minh",2023-06-23,2023-07-08,8986,Quận 11,Đường Nguyễn Thị Nhỏ,58
18.0,70.0,2,2,"Đường Bến Vân Đồn, Phường 2, Quận 4, Hồ Chí Minh",2023-07-20,2023-08-04,10786,Quận 4,Đường Bến Vân Đồn,68
10.0,75.0,2,2,"29 Đường Bình Phú, Phường 10, Quận 6, Hồ Chí Minh",2023-07-08,2023-07-23,9787,Quận 6,Đường Bình Phú,88
14.0,60.0,0,0,"Đường Nguyễn Khoái, Phường 1, Quận 4, Hồ Chí Minh",2023-07-03,2023-07-18,9591,Quận 4,Đường Nguyễn Khoái,67
12.0,78.0,2,2,"Đường Bến Vân Đồn, Phường 1, Quận 4, Hồ Chí Minh",2023-07-03,2023-07-18,9593,Quận 4,Đường Bến Vân Đồn,53
13.0,77.0,2,2,"Đường Bến Vân Đồn, Phường 1, Quận 4, Hồ Chí Minh",2023-07-03,2023-07-18,9592,Quận 4,Đường Bến Vân Đồn,55
15.0,100.0,3,2,"Đường Bến Vân Đồn, Phường 1, Quận 4, Hồ Chí Minh",2023-07-03,2023-07-18,9598,Quận 4,Đường Bến Vân Đồn,48
12.0,74.0,2,2,"Screc Tower, 974A, Đường Trường Sa, Phường 12, Quận 3, Hồ Chí Minh",2023-06-28,2023-07-13,9386,Quận 3,Đường Trường Sa,42
12.0,50.0,1,1,"5B Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh",2023-07-18,2023-08-02,10555,Quận Tân Bình,Đường Phổ Quang,32
20.0,130.0,3,3,"Đường Hồng Bàng, Phường 12, Quận 5, Hồ Chí Minh",2023-07-21,2023-08-05,10861,Quận 5,Đường Hồng Bàng,77
8.5,36.0,0,0,"Đường Tạ Quang Bửu, Phường 5, Quận 8, Hồ Chí Minh",2023-06-16,2023-07-01,8579,Quận 8,Đường Tạ Quang Bửu,74
12.5,78.0,2,2,"Đường Tản Đà, Phường 11, Quận 5, Hồ Chí Minh",2023-07-06,2023-07-21,9703,Quận 5,Đường Tản Đà,84
